40.725925,-73.939136
40.723072,-73.944392
40.728563,-73.948639
40.723001,-73.945727
40.742989,-73.935292
40.724532,-73.948517
40.726102,-73.952252
40.724840,-73.947846
40.717615,-73.941401
40.724776,-73.947782
40.717512,-73.944908
40.723051,-73.950386
40.732069,-73.954721
40.728514,-73.953477
40.732673,-73.954550
40.730526,-73.951822
40.742977,-73.936485
40.740936,-73.949181
40.729332,-73.953892
40.725333,-73.952261
40.728260,-73.949463
40.722611,-73.948915
40.725500,-73.951664
40.736765,-73.932188
40.723391,-73.951690
40.740498,-73.922580
40.725167,-73.951619
40.738707,-73.934357
40.730070,-73.954415
40.734849,-73.952172
40.726013,-73.940858
40.730530,-73.954140
40.744698,-73.933476
40.742156,-73.936438
40.742183,-73.936448
40.742691,-73.933771
40.742972,-73.934458
40.743013,-73.935300
40.743018,-73.935376
40.742995,-73.936568
40.721377,-73.947114
40.743780,-73.936186
40.725655,-73.951460
40.725365,-73.919159
40.724144,-73.951183
40.725404,-73.951650
40.722385,-73.950140
40.718651,-73.944923
40.744898,-73.934366
40.745274,-73.930901
40.731425,-73.954434
